Task,Solution Type,Bureau or Group,Start Quarter,End Quarter,Major Milestone,Primary Staff Signal,Confidence,Source
Phase 1 - Spend Plan Create,Appropriations and Spend Plan,WCF or CARE,FY26 Q3,FY26 Q4,Phase 1 spend plan creation complete,Staff not explicit in sheet,Inferred from roadmap layout,Regionals Outlook
Phase 2.1 - Reconciliation and Expand Data Sources,Appropriations and Spend Plan,WCF or CARE,FY26 Q4,FY27 Q1,Expanded data sources and reconciliation complete,Matt Ford; Ziv Agasi,Inferred from roadmap layout,Regionals Outlook
IRAQ (NEA),Country or Bureau Specific Solution,IRAQ,FY26 Q4,FY27 Q2,Iraq roadmap in Q3 with initial capabilities by mid Q4,FY sheet shows Matt Ford; Scott Florence; Osmar Rosales; Russell Sherrod; Eric Thaxton; Isaiah Wood,Confirmed milestone; duration inferred,Regional Plan + Regionals Outlook
Freight Forward (A),Regional Platform and Shared Services,WCF,FY27 Q1,FY27 Q2,Freight forward work package delivered,Matt Ford,Inferred from roadmap layout,Regionals Outlook
Phase 2.2 - Forecast Trends and Scenario Planning,Appropriations and Spend Plan,WCF or CARE,FY27 Q1,FY27 Q3,Forecast and scenario planning capability complete,Matt Ford; Ziv Agasi,Inferred from roadmap layout,Regionals Outlook
Overseas Module (WHA),Overseas Dashboard and Budget Formulation,WHA,FY27 Q1,FY27 Q2,Overseas module extends domestic pattern to posts,Jason Jensen; Matt Ford; Scott Florence; Isaiah Wood,Inferred from roadmap layout,Regionals Outlook
Overseas Module (SCA),Overseas Dashboard and Budget Formulation,SCA,FY27 Q1,FY27 Q2,Overseas module extends domestic pattern to posts,Matt Ford; Scott Florence; Isaiah Wood,Inferred from roadmap layout,Regionals Outlook
Overseas Module (NEA),Overseas Dashboard and Budget Formulation,NEA,FY27 Q1,FY27 Q2,Overseas module extends domestic pattern to posts,Matt Ford; Scott Florence; Isaiah Wood,Inferred from roadmap layout,Regionals Outlook
Syria (NEA),Country or Bureau Specific Solution,NEA,FY27 Q1,FY27 Q2,Syria-specific workstream begins after Iraq ramp,Staff not explicit in sheet,Inferred from roadmap layout,Regionals Outlook
Regional Overseas Dashboard,Overseas Dashboard and Budget Formulation,Regional All,FY27 Q2,FY27 Q3,Regional dashboard aggregates posts worldwide,Ziv Agasi,Inferred from roadmap layout,Regional Plan + Regionals Outlook
Portal,Regional Platform and Shared Services,Regional All,FY27 Q2,FY27 Q4,Regional portal becomes hub for tools and documentation,Staff not explicit in sheet,Inferred from roadmap layout,Regional Plan + Regionals Outlook
OM and Support,Regional Platform and Shared Services,CARE,FY27 Q1,FY27 Q4,Ongoing operational support maintained through FY27,Scott Florence; Isaiah Wood; Benjamin Eidelkind,Confirmed ongoing support; duration inferred,Regional Plan + Regionals Outlook
Ukraine,Country or Bureau Specific Solution,Planning,FY27 Q3,FY27 Q4,Procurement target in FY27,Leadership and planning oversight,Confirmed year from plan; quarter inferred,Regional Plan + Regionals Outlook
EAP,Country or Bureau Specific Solution,Planning,FY27 Q4,FY28 Q1,Target procurement in Q4 FY26 to Q1 FY27 in narrative; shown later on roadmap,Leadership and planning oversight,Conflicting sources needs validation,Regional Plan + Regionals Outlook
Disaster Readiness Solution - Application and Dashboard,Regional Platform and Shared Services,Regional All,FY28 Q1,FY28 Q2,Broader disaster solution available with leadership reporting,Fatima Barry; Andrew Hill; Russell Sherrod,Inferred from roadmap layout,Regional Plan + Regionals Outlook
AF,Country or Bureau Specific Solution,Planning,FY28 Q2,FY28 Q3,Future regional expansion milestone,Leadership and planning oversight,Plan says FY27 target; roadmap shows later,Regional Plan + Regionals Outlook
EUR,Country or Bureau Specific Solution,Planning,FY28 Q3,FY28 Q4,Future regional expansion milestone,Leadership and planning oversight,Confirmed as later horizon; quarter inferred,Regional Plan + Regionals Outlook
